Title,Author,Series,Status,Privacy,Hardcover Book ID,Hardcover Edition ID,ISBN 10,ISBN 13,ASIN,Media,Country Code,Language Code,Binding,Pages,Duration in Seconds,Publish Date,Publisher,Genres,Moods,Tags,Content Warnings,Lists,Date Added,Date Started,Date Finished,Rating,Review,Review Contains Spoilers,Sponsored Review,Review Date,Review URL,Review Media URL,Private Notes,Owned,Compilation,Review Slate
Butterfly Kisses,Patrick  Logan,Detective Damien Drake (#1.0),Read,Public,538751,30494714,,,,Book,,,,,,2017-07-05,,,,,,"",2019-01-26,"",2023-07-24,,,false,false,2023-07-24T00:00:00Z,,,,false,No,{}
A Killer's Mind,Mike Omer,Zoe Bentley Mystery (#1.0),Read,Public,484922,30425648,1503901904,9781503901902,,Book,us,en,,378,,2018-08-01,Thomas & Mercer,,,,,"",2018-09-03,"",2018-09-06,5.0,"The best serial killer story I've read in a long time

I was hooked from the opening paragraph and absolutely loved this book. There's an sharing of the killer's psyche that I hadn't experienced before and it was intriguing. I never wanted to put it down and now I have to read his other series while I wait for the next Zoe Bentley story.",false,false,2018-09-06T00:00:00Z,,,,false,No,"{""document""=>{""object""=>""document"", ""children""=>[{""data""=>{}, ""type""=>""paragraph"", ""object""=>""block"", ""children""=>[{""bold""=>true, ""text""=>""The best serial killer story I've read in a long time"", ""object""=>""text""}, {""data""=>{}, ""type""=>""br"", ""object""=>""inline"", ""children""=>[]}, {""data""=>{}, ""type""=>""br"", ""object""=>""inline"", ""children""=>[]}, {""text""=>""I was hooked from the opening paragraph and absolutely loved this book. There's an sharing of the killer's psyche that I hadn't experienced before and it was intriguing. I never wanted to put it down and now I have to read his other series while I wait for the next Zoe Bentley story."", ""object""=>""text""}]}]}}"
The Art of Fear,Pamela Crane,The Little Things That Kill (#1.0),Read,Public,495257,30443353,1940662095,9781940662091,,Book,,,,306,,2018-02-01,,,,,,"",2018-10-13,"",2018-11-01,3.0,,false,false,2018-11-01T00:00:00Z,,,,false,No,{}
Firewall,"Henning Mankell, Ebba Segerberg (Translator)",,Want to Read,Public,173241,9338323,0099459051,9780099459057,,Book,,,,534,,1998-01-01,,,,,,"",2015-01-01,"","",,,false,false,,,,,false,No,{}
Blood Meridian: Or the Evening Redness in the West,Cormac McCarthy,,Read,Public,1363747,4436019,0679728759,9780679728757,,Book,us,en,,365,,1985-04-28,Vintage,,,,,"",2015-01-16,"",2015-01-16,5.0,I loved this book. it took me a while to get used to the dialect in the beginning and that challenge made it all the better. Some fantastic moments throughout and it left me wondering how we survived this period at all.,false,false,2015-01-16T00:00:00Z,,,,false,No,"{""document""=>{""object""=>""document"", ""children""=>[{""data""=>{}, ""type""=>""paragraph"", ""object""=>""block"", ""children""=>[{""text""=>""I loved this book. it took me a while to get used to the dialect in the beginning and that challenge made it all the better. Some fantastic moments throughout and it left me wondering how we survived this period at all."", ""object""=>""text""}]}]}}"
Watching,Blake Pierce,The Making of Riley Paige (#1.0),Read,Public,561208,30521721,1640294120,9781640294127,,Book,gb,en,,340,,2018-05-15,,,,,,"",2023-01-02,"",2023-01-02,4.0,,false,false,2023-01-02T00:00:00Z,,,,false,No,{}
The Vanishing Season,Dot Hutchison,The Collector (#4.0),Read,Public,440584,30405027,1542040221,9781542040228,,Book,us,en,,0,,2019-01-01,,,,,,"",2020-05-16,"",2020-05-23,4.0,"Familiar characters but a new vibe

I feel like I know this group of characters, but this one took it to a new level. I couldn't put it down but this one was more heart-wrenchimg than suspenseful.",false,false,2020-05-23T00:00:00Z,,,,false,No,"{""document""=>{""object""=>""document"", ""children""=>[{""data""=>{}, ""type""=>""paragraph"", ""object""=>""block"", ""children""=>[{""bold""=>true, ""text""=>""Familiar characters but a new vibe"", ""object""=>""text""}, {""data""=>{}, ""type""=>""br"", ""object""=>""inline"", ""children""=>[]}, {""data""=>{}, ""type""=>""br"", ""object""=>""inline"", ""children""=>[]}, {""text""=>""I feel like I know this group of characters, but this one took it to a new level. I couldn't put it down but this one was more heart-wrenchimg than suspenseful."", ""object""=>""text""}]}]}}"
The Pied Piper,Harold Schechter,Bloodlands Collection (#6.0),Read,Public,616048,30589342,,,,Book,,,,,,2018-06-28,,,,,,"",2018-09-12,"",2018-09-13,4.0,,false,false,2018-09-13T00:00:00Z,,,,false,No,{}
The Pirate,Harold Schechter,Bloodlands Collection (#1.0),Read,Public,469426,30387261,,,,Book,,,,67,,2018-06-28,,,,,,"",2018-09-13,"",2018-09-14,4.0,,false,false,2018-09-14T00:00:00Z,,,,false,No,{}
Little Slaughterhouse on the Prairie,Harold Schechter,Bloodlands Collection (#2.0),Read,Public,701393,30690714,,,,Book,us,en,,,,2018-06-28,,,,,,"",2018-09-19,"",2018-09-21,4.0,,false,false,2018-09-21T00:00:00Z,,,,false,No,{}
